0	Porn is wrong as it leads to wasting time and energy, leads to guilt and regret, and does not increase maturity or prevent sexual assaults.
1	It sounds like your friend may be able to get help from pro-bono or low-income based legal services depending on her income. Her husband's high earning could qualify her for a range of assistance including WIC, daycare subsidies, and food stamps.
2	Sadism, the act of inflicting violence or cruelty on others to satisfy one's personal or sexual gratification, is the most depraved act a person can commit. As it involves subjugating someone weaker than oneself, it compounds the evil of the act.
3	The creation of hybrid animals through research and combination could bring incredible results. We could potentially gain new knowledge and potentially create animals with useful traits, such as an octopus-like face with the ability to walk on two legs and six wavy arms and a furry body.
4	Gun control is largely ineffective at reducing crime as criminals will always find a way to access guns, while well-armed citizens can act as a deterrent. Furthermore, the Second Amendment is intended to ensure that citizens can protect themselves against an overreaching government.
5	Religion teaches natural feelings are wrong, which confuses young men and leads to a lack of understanding of what is wrong and right. Consequently, this can lead to sexual activity such as rape.
6	Gay women are more socially accepted than gay men because lesbians are seen as aesthetically pleasing and not as much of a threat to traditional gender roles. Additionally, homosexuality is associated with women, making gay women more "socially acceptable".
7	China is oppressive to its citizens and any dissent is met with severe punishments like beatings and torture. America turns a blind eye to this in favor of preserving economic relations, which involves outsourcing labor to slave-like conditions.
8	The difference is that the Danish cartoons were a response to the actions of the suicide bombers, while the actions of the bombers were a violation of other people's beliefs.
9	Life is not fair, and success often comes to those who take what they want and play to win. Those who do right by others sometimes, but get nothing in return, are often the ones who get the raw end of the deal.
10	Scott Peterson was an average white guy, like OJ Simpson but without the celebrity status. He and Laci were nice-looking, which made for good television, just like Michael Douglas and Glen Close in Fatal Attraction.
11	Hamas' agenda of destroying Israel makes it acceptable for Israel to take retaliatory action against them. Furthermore, Hamas' refusal to accept cease-fires and their disregard for civilian casualties during missile launches from civilian buildings make Israel's actions justified.
12	The government shouldn't be in the marriage business, and should simply record marriages and grant equal rights to all couples. Plural marriages exist, but there is no support for them.
13	Universities are no longer aimed at inspiring students, but rather at churning out graduates for the corporate world. Students lack passion and motivation for the subjects they study, and the university environment fails to ignite a spark.
14	Bad Company 2 is boring due to its lack of intensity and interesting gameplay, while Call of Duty's maps are too big and vehicle controls are difficult. MW2 is exciting and immersive with its realistic weapons and gameplay.
15	The death penalty is used primarily as a form of retaliation, and therefore, making executions public could serve as a deterrent and inform the public of the consequences of severe criminal acts.
16	Democracy and western values are not likely to succeed in conflict countries due to their lack of a shared Enlightenment background and the requirement in Islam for church and state to be unified with the rule of law coming from the Koran. Military force is necessary to maintain control in these regions, but this has led to blowback and the rise of terror
17	It is morally wrong to violate someone's rights, however, laws should not hinder an individual's right to practice their religious beliefs or infringe upon their personal freedoms. It is understandable if people feel that certain laws are wrong or unjust, but people should weigh the consequences of
18	The Incredible Hulk is stronger and angrier than Optimus Prime, making her impossible to defeat.
19	The expectation that men should put the toilet seat down after urinating is unreasonable because it cannot be applied equally to both sexes, as women would have to put the seat up after using it and it would cancel out. Additionally, in a shared building or household, the next user may be a man who will need to put the seat up again.
20	Ladies bars have not been shut down in India, but instead Maharashtra's government implemented the ban due to complaints from housewives about their male family members wasting money on ladies bars and not taking care of their families. Additionally, criminal activities that took place at these bars, such as monthly incomes of up to one lakh rupees spent on bar girls, prompted the government to put a stop
21	Gay marriage is wrong and should not be rewarded with tax breaks, but homosexuality is a learned sin and should not be promoted in public as it could lead to the downfall of society.
22	The Stormcloaks are portrayed as the villains of the civil war in Skyrim due to their racism, abuse and mistreatment of people different from them, as well as Ulfric's use of the Thu'um to kill the High King. This leaves them with nothing that paints them as the good guys, aside from not being the ones who want to cut your head off at the beginning of the quest line.
